acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,genre
0.000407,https://api.spotify.com/v1/audio-analysis/6eVxH9Kyanzrw636zJRPcw,0.887,210699,0.606,6eVxH9Kyanzrw636zJRPcw,0.0,2,0.151,-6.572,1,0.324,139.995,4,https://api.spotify.com/v1/tracks/6eVxH9Kyanzrw636zJRPcw,audio_features,spotify:track:6eVxH9Kyanzrw636zJRPcw,0.272,Hip-Hop
0.0421,https://api.spotify.com/v1/audio-analysis/0k7wmahjkn389wAZdz19Cv,0.752,213520,0.658,0k7wmahjkn389wAZdz19Cv,0.0,0,0.0927,-6.297,1,0.342,151.951,4,https://api.spotify.com/v1/tracks/0k7wmahjkn389wAZdz19Cv,audio_features,spotify:track:0k7wmahjkn389wAZdz19Cv,0.387,Hip-Hop
0.143,https://api.spotify.com/v1/audio-analysis/5IUtvfNvOyVYZUa6AJFrnP,0.782,143375,0.51,5IUtvfNvOyVYZUa6AJFrnP,0.0,4,0.115,-5.724,0,0.0419,99.993,4,https://api.spotify.com/v1/tracks/5IUtvfNvOyVYZUa6AJFrnP,audio_features,spotify:track:5IUtvfNvOyVYZUa6AJFrnP,0.118,Hip-Hop
0.0798,https://api.spotify.com/v1/audio-analysis/0lQ1lmYqurunIRdoVVVHM1,0.91,172099,0.657,0lQ1lmYqurunIRdoVVVHM1,0.0,0,0.307,-8.489,0,0.235,122.911,4,https://api.spotify.com/v1/tracks/0lQ1lmYqurunIRdoVVVHM1,audio_features,spotify:track:0lQ1lmYqurunIRdoVVVHM1,0.448,Hip-Hop
0.455,https://api.spotify.com/v1/audio-analysis/6EW1fwOk4JHmTZKINZsyjB,0.664,222801,0.553,6EW1fwOk4JHmTZKINZsyjB,0.0,11,0.181,-8.316,1,0.415,87.009,4,https://api.spotify.com/v1/tracks/6EW1fwOk4JHmTZKINZsyjB,audio_features,spotify:track:6EW1fwOk4JHmTZKINZsyjB,0.722,Hip-Hop
0.65,https://api.spotify.com/v1/audio-analysis/1tkg4EHVoqnhR6iFEXb60y,0.709,160000,0.548,1tkg4EHVoqnhR6iFEXb60y,1.59e-06,10,0.133,-8.493,1,0.353,83.995,4,https://api.spotify.com/v1/tracks/1tkg4EHVoqnhR6iFEXb60y,audio_features,spotify:track:1tkg4EHVoqnhR6iFEXb60y,0.543,Hip-Hop
0.12,https://api.spotify.com/v1/audio-analysis/6zFMeegAMYQo0mt8rXtrli,0.81,154998,0.511,6zFMeegAMYQo0mt8rXtrli,0.0,5,0.0832,-6.924,0,0.164,151.947,4,https://api.spotify.com/v1/tracks/6zFMeegAMYQo0mt8rXtrli,audio_features,spotify:track:6zFMeegAMYQo0mt8rXtrli,0.837,Hip-Hop
0.0599,https://api.spotify.com/v1/audio-analysis/6CN7FuZ7o1xle9TNxApGeQ,0.706,126444,0.76,6CN7FuZ7o1xle9TNxApGeQ,1.46e-06,8,0.202,-4.702,1,0.0369,95.499,4,https://api.spotify.com/v1/tracks/6CN7FuZ7o1xle9TNxApGeQ,audio_features,spotify:track:6CN7FuZ7o1xle9TNxApGeQ,0.564,Hip-Hop
0.00998,https://api.spotify.com/v1/audio-analysis/0bMyxvtbPa7HFemLjzw0xX,0.917,151481,0.529,0bMyxvtbPa7HFemLjzw0xX,0.0,1,0.0884,-3.785,0,0.101,122.0,4,https://api.spotify.com/v1/tracks/0bMyxvtbPa7HFemLjzw0xX,audio_features,spotify:track:0bMyxvtbPa7HFemLjzw0xX,0.289,Hip-Hop
0.00327,https://api.spotify.com/v1/audio-analysis/4Iedi94TIaB2GGb1nMB68v,0.856,135960,0.564,4Iedi94TIaB2GGb1nMB68v,0.0,6,0.134,-6.295,0,0.392,77.972,4,https://api.spotify.com/v1/tracks/4Iedi94TIaB2GGb1nMB68v,audio_features,spotify:track:4Iedi94TIaB2GGb1nMB68v,0.483,Hip-Hop
