acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,genre
0.989,https://api.spotify.com/v1/audio-analysis/4SFBV7SRNG2e2kyL1F6kjU,0.221,139307,0.126,4SFBV7SRNG2e2kyL1F6kjU,0.897,0,0.102,-25.427,1,0.0447,133.63,4,https://api.spotify.com/v1/tracks/4SFBV7SRNG2e2kyL1F6kjU,audio_features,spotify:track:4SFBV7SRNG2e2kyL1F6kjU,0.216,Classical
0.902,https://api.spotify.com/v1/audio-analysis/2kAgCRZPG3YQR2VMqRvLmb,0.0811,935360,0.0122,2kAgCRZPG3YQR2VMqRvLmb,0.308,4,0.0648,-32.654,0,0.0511,74.554,4,https://api.spotify.com/v1/tracks/2kAgCRZPG3YQR2VMqRvLmb,audio_features,spotify:track:2kAgCRZPG3YQR2VMqRvLmb,0.0384,Classical
0.927,https://api.spotify.com/v1/audio-analysis/1upQiytDIEZfl9ItruoXuC,0.204,207267,0.0331,1upQiytDIEZfl9ItruoXuC,0.825,2,0.0954,-24.044,0,0.0487,116.2,3,https://api.spotify.com/v1/tracks/1upQiytDIEZfl9ItruoXuC,audio_features,spotify:track:1upQiytDIEZfl9ItruoXuC,0.0547,Classical
0.986,https://api.spotify.com/v1/audio-analysis/0H2VhGUC3P3hvwz8rdGIpC,0.23,203656,0.0487,0H2VhGUC3P3hvwz8rdGIpC,0.945,5,0.0679,-27.675,1,0.0412,134.839,5,https://api.spotify.com/v1/tracks/0H2VhGUC3P3hvwz8rdGIpC,audio_features,spotify:track:0H2VhGUC3P3hvwz8rdGIpC,0.101,Classical
0.98,https://api.spotify.com/v1/audio-analysis/419qlOGNXoyICx4jO0hqaj,0.205,174653,0.0525,419qlOGNXoyICx4jO0hqaj,0.906,1,0.103,-23.841,1,0.0327,88.316,4,https://api.spotify.com/v1/tracks/419qlOGNXoyICx4jO0hqaj,audio_features,spotify:track:419qlOGNXoyICx4jO0hqaj,0.0511,Classical
0.944,https://api.spotify.com/v1/audio-analysis/5pjDwtMPly0cNMbuGXhUOI,0.148,478573,0.0722,5pjDwtMPly0cNMbuGXhUOI,0.148,4,0.115,-25.217,0,0.0427,87.882,4,https://api.spotify.com/v1/tracks/5pjDwtMPly0cNMbuGXhUOI,audio_features,spotify:track:5pjDwtMPly0cNMbuGXhUOI,0.0467,Classical
0.976,https://api.spotify.com/v1/audio-analysis/0yzhOPf0iw2qWwcXRRta5L,0.309,890000,0.258,0yzhOPf0iw2qWwcXRRta5L,0.69,9,0.0924,-15.327,1,0.0459,74.568,4,https://api.spotify.com/v1/tracks/0yzhOPf0iw2qWwcXRRta5L,audio_features,spotify:track:0yzhOPf0iw2qWwcXRRta5L,0.115,Classical
0.89,https://api.spotify.com/v1/audio-analysis/17i5jLpzndlQhbS4SrTd0B,0.275,152280,0.157,17i5jLpzndlQhbS4SrTd0B,0.842,7,0.186,-18.752,1,0.0636,73.289,4,https://api.spotify.com/v1/tracks/17i5jLpzndlQhbS4SrTd0B,audio_features,spotify:track:17i5jLpzndlQhbS4SrTd0B,0.304,Classical
0.873,https://api.spotify.com/v1/audio-analysis/6Uk28Hs2MulezLxMrd1rBD,0.205,337253,0.0686,6Uk28Hs2MulezLxMrd1rBD,0.402,4,0.0909,-23.415,0,0.0462,90.779,1,https://api.spotify.com/v1/tracks/6Uk28Hs2MulezLxMrd1rBD,audio_features,spotify:track:6Uk28Hs2MulezLxMrd1rBD,0.0359,Classical
0.996,https://api.spotify.com/v1/audio-analysis/5fdp9rXfEixCGLM1Og4EN1,0.376,296480,0.00579,5fdp9rXfEixCGLM1Og4EN1,0.944,5,0.0882,-31.615,0,0.0576,71.827,4,https://api.spotify.com/v1/tracks/5fdp9rXfEixCGLM1Og4EN1,audio_features,spotify:track:5fdp9rXfEixCGLM1Og4EN1,0.0369,Classical
0.975,https://api.spotify.com/v1/audio-analysis/2Z4aQJh0kesRMookvtfR4y,0.303,820853,0.119,2Z4aQJh0kesRMookvtfR4y,0.88,9,0.112,-18.055,0,0.0386,94.868,4,https://api.spotify.com/v1/tracks/2Z4aQJh0kesRMookvtfR4y,audio_features,spotify:track:2Z4aQJh0kesRMookvtfR4y,0.038,Classical
0.993,https://api.spotify.com/v1/audio-analysis/1cmigB9I6IRpFqjIbzvSQB,0.335,294960,0.00501,1cmigB9I6IRpFqjIbzvSQB,0.919,1,0.0618,-33.366,1,0.0451,132.085,3,https://api.spotify.com/v1/tracks/1cmigB9I6IRpFqjIbzvSQB,audio_features,spotify:track:1cmigB9I6IRpFqjIbzvSQB,0.0383,Classical
0.898,https://api.spotify.com/v1/audio-analysis/0pCHzhuRt6kOU3FUEG3HnC,0.371,442693,0.131,0pCHzhuRt6kOU3FUEG3HnC,0.925,2,0.0847,-23.899,1,0.0413,105.328,4,https://api.spotify.com/v1/tracks/0pCHzhuRt6kOU3FUEG3HnC,audio_features,spotify:track:0pCHzhuRt6kOU3FUEG3HnC,0.0655,Classical
0.871,https://api.spotify.com/v1/audio-analysis/2fC30Rt5tFa6FA2jNb4fiz,0.326,435160,0.33,2fC30Rt5tFa6FA2jNb4fiz,0.749,7,0.128,-12.967,0,0.0406,118.668,4,https://api.spotify.com/v1/tracks/2fC30Rt5tFa6FA2jNb4fiz,audio_features,spotify:track:2fC30Rt5tFa6FA2jNb4fiz,0.293,Classical
0.896,https://api.spotify.com/v1/audio-analysis/0cqcRqZgkNHanWQ8slYA0v,0.0783,583293,0.0523,0cqcRqZgkNHanWQ8slYA0v,0.945,5,0.0806,-23.247,1,0.0471,82.015,4,https://api.spotify.com/v1/tracks/0cqcRqZgkNHanWQ8slYA0v,audio_features,spotify:track:0cqcRqZgkNHanWQ8slYA0v,0.0327,Classical
0.992,https://api.spotify.com/v1/audio-analysis/2MSgFefjK0T7Iwjvr3OKqV,0.225,259493,0.0047,2MSgFefjK0T7Iwjvr3OKqV,0.881,1,0.0722,-30.928,0,0.0509,163.665,4,https://api.spotify.com/v1/tracks/2MSgFefjK0T7Iwjvr3OKqV,audio_features,spotify:track:2MSgFefjK0T7Iwjvr3OKqV,0.186,Classical
0.995,https://api.spotify.com/v1/audio-analysis/46tPGzCXCI2oKsemztDA9u,0.193,402493,0.0656,46tPGzCXCI2oKsemztDA9u,0.829,10,0.119,-19.239,1,0.0471,128.975,3,https://api.spotify.com/v1/tracks/46tPGzCXCI2oKsemztDA9u,audio_features,spotify:track:46tPGzCXCI2oKsemztDA9u,0.0359,Classical
0.948,https://api.spotify.com/v1/audio-analysis/3QqPgzOcv9titKufFR0gsQ,0.353,564640,0.254,3QqPgzOcv9titKufFR0gsQ,0.859,0,0.0843,-16.205,1,0.0349,133.808,4,https://api.spotify.com/v1/tracks/3QqPgzOcv9titKufFR0gsQ,audio_features,spotify:track:3QqPgzOcv9titKufFR0gsQ,0.0986,Classical
0.975,https://api.spotify.com/v1/audio-analysis/0dzl6bBvsIAfHLlTbBObTW,0.233,707173,0.0252,0dzl6bBvsIAfHLlTbBObTW,0.604,2,0.143,-24.824,1,0.0346,94.736,4,https://api.spotify.com/v1/tracks/0dzl6bBvsIAfHLlTbBObTW,audio_features,spotify:track:0dzl6bBvsIAfHLlTbBObTW,0.0936,Classical
0.748,https://api.spotify.com/v1/audio-analysis/5x3TUfYzgZIdt0Kaop64ss,0.13,302093,0.158,5x3TUfYzgZIdt0Kaop64ss,0.924,2,0.1,-16.132,1,0.035,85.031,4,https://api.spotify.com/v1/tracks/5x3TUfYzgZIdt0Kaop64ss,audio_features,spotify:track:5x3TUfYzgZIdt0Kaop64ss,0.0998,Classical
0.983,https://api.spotify.com/v1/audio-analysis/4rrrn8OLrttq7r9RgNXalU,0.194,644273,0.0545,4rrrn8OLrttq7r9RgNXalU,0.945,4,0.0551,-24.877,1,0.0366,140.966,4,https://api.spotify.com/v1/tracks/4rrrn8OLrttq7r9RgNXalU,audio_features,spotify:track:4rrrn8OLrttq7r9RgNXalU,0.0385,Classical
0.98,https://api.spotify.com/v1/audio-analysis/63cA2QfqtWZa0GGPZnYc0K,0.0999,532040,0.0241,63cA2QfqtWZa0GGPZnYc0K,0.766,2,0.0623,-25.651,1,0.0432,89.001,3,https://api.spotify.com/v1/tracks/63cA2QfqtWZa0GGPZnYc0K,audio_features,spotify:track:63cA2QfqtWZa0GGPZnYc0K,0.0396,Classical
