acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,genre
0.0819,https://api.spotify.com/v1/audio-analysis/1ZvBVbsaNqHEP6ymXaPGlj,0.732,210587,0.6629999999999999,1ZvBVbsaNqHEP6ymXaPGlj,0.0,6,0.115,-7.6160000000000005,0,0.192,139.964,4,https://api.spotify.com/v1/tracks/1ZvBVbsaNqHEP6ymXaPGlj,audio_features,spotify:track:1ZvBVbsaNqHEP6ymXaPGlj,0.22699999999999998,Hip-Hop
0.0224,https://api.spotify.com/v1/audio-analysis/04VO6VICgMJgTe2dLxFBoW,0.6829999999999999,186210,0.779,04VO6VICgMJgTe2dLxFBoW,0.0,2,0.368,-6.5120000000000005,1,0.0609,138.018,4,https://api.spotify.com/v1/tracks/04VO6VICgMJgTe2dLxFBoW,audio_features,spotify:track:04VO6VICgMJgTe2dLxFBoW,0.198,Hip-Hop
0.0249,https://api.spotify.com/v1/audio-analysis/2vX5WL7s6UdeQyweZEx7PP,0.629,211027,0.785,2vX5WL7s6UdeQyweZEx7PP,9.45e-06,5,0.0522,-10.761,1,0.0471,108.531,4,https://api.spotify.com/v1/tracks/2vX5WL7s6UdeQyweZEx7PP,audio_features,spotify:track:2vX5WL7s6UdeQyweZEx7PP,0.8690000000000001,Rock
0.0028699999999999997,https://api.spotify.com/v1/audio-analysis/2SiXAy7TuUkycRVbbWDEpo,0.532,210173,0.767,2SiXAy7TuUkycRVbbWDEpo,0.000513,7,0.39,-5.5089999999999995,1,0.0574,127.361,4,https://api.spotify.com/v1/tracks/2SiXAy7TuUkycRVbbWDEpo,audio_features,spotify:track:2SiXAy7TuUkycRVbbWDEpo,0.755,Rock
0.748,https://api.spotify.com/v1/audio-analysis/5x3TUfYzgZIdt0Kaop64ss,0.13,302093,0.158,5x3TUfYzgZIdt0Kaop64ss,0.924,2,0.1,-16.132,1,0.035,85.031,4,https://api.spotify.com/v1/tracks/5x3TUfYzgZIdt0Kaop64ss,audio_features,spotify:track:5x3TUfYzgZIdt0Kaop64ss,0.0998,Classical
0.000989,https://api.spotify.com/v1/audio-analysis/3sY6z4pGcxpMwx3W026WtU,0.42100000000000004,303587,0.677,3sY6z4pGcxpMwx3W026WtU,9.65e-05,4,0.21100000000000002,-6.183,1,0.0343,127.67,4,https://api.spotify.com/v1/tracks/3sY6z4pGcxpMwx3W026WtU,audio_features,spotify:track:3sY6z4pGcxpMwx3W026WtU,0.6829999999999999,Rock
0.0192,https://api.spotify.com/v1/audio-analysis/1zGk1kgAxCpg6PHjGuLe4J,0.5429999999999999,180943,0.715,1zGk1kgAxCpg6PHjGuLe4J,0.0,2,0.256,-8.89,1,0.0356,124.01100000000001,4,https://api.spotify.com/v1/tracks/1zGk1kgAxCpg6PHjGuLe4J,audio_features,spotify:track:1zGk1kgAxCpg6PHjGuLe4J,0.46799999999999997,Rock
0.0409,https://api.spotify.com/v1/audio-analysis/1lqMLr9Wj7SM2F9AikGcxN,0.509,512733,0.8270000000000001,1lqMLr9Wj7SM2F9AikGcxN,0.0,0,0.12,-7.715,1,0.079,135.601,4,https://api.spotify.com/v1/tracks/1lqMLr9Wj7SM2F9AikGcxN,audio_features,spotify:track:1lqMLr9Wj7SM2F9AikGcxN,0.743,Rock
0.057,https://api.spotify.com/v1/audio-analysis/6EDO9iiTtwNv6waLwa1UUq,0.8,200221,0.56,6EDO9iiTtwNv6waLwa1UUq,0.0,5,0.134,-4.8180000000000005,0,0.261,163.071,4,https://api.spotify.com/v1/tracks/6EDO9iiTtwNv6waLwa1UUq,audio_features,spotify:track:6EDO9iiTtwNv6waLwa1UUq,0.45,Hip-Hop
0.894,https://api.spotify.com/v1/audio-analysis/3QN7ups1LvVMASAe94yEEx,0.253,204093,0.177,3QN7ups1LvVMASAe94yEEx,0.573,7,0.6679999999999999,-19.525,1,0.0346,89.052,4,https://api.spotify.com/v1/tracks/3QN7ups1LvVMASAe94yEEx,audio_features,spotify:track:3QN7ups1LvVMASAe94yEEx,0.242,Classical
