acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
0.795,0.319,206800,0.467,0.903,0,0.129,-10.88,1,0.0305,98.105,3,0.393,-1
0.7879999999999999,0.321,364733,0.257,0.858,0,0.245,-13.175999999999998,1,0.0353,124.543,4,0.153,1
0.0172,0.86,128341,0.583,0.0,1,0.124,-6.797999999999999,1,0.14300000000000002,105.001,4,0.413,0
0.159,0.784,143153,0.586,0.0,10,0.183,-5.148,1,0.057,113.973,4,0.8240000000000001,0
0.271,0.414,354320,0.404,0.0,0,0.3,-9.928,0,0.0499,71.105,4,0.224,-1
0.894,0.253,204093,0.177,0.573,7,0.6679999999999999,-19.525,1,0.0346,89.052,4,0.242,1
0.974,0.295,154960,0.119,0.934,6,0.0771,-17.42,0,0.0826,221.716,4,0.354,1
0.994,0.174,278933,0.17800000000000002,0.861,1,0.0737,-18.717,0,0.0362,167.972,3,0.0347,1
0.944,0.14800000000000002,478573,0.0722,0.14800000000000002,4,0.115,-25.217,0,0.0427,87.882,4,0.0467,1
0.913,0.395,134173,0.0225,0.953,4,0.156,-32.611999999999995,0,0.0353,117.202,4,0.217,1
0.307,0.802,112000,0.441,0.00259,10,0.1,-13.67,1,0.284,92.397,4,0.25,0
0.994,0.29600000000000004,257000,0.00896,0.91,7,0.0815,-31.948,0,0.0394,69.44,3,0.0673,1
0.948,0.184,244693,0.0953,0.0371,2,0.102,-18.573,1,0.0405,85.296,3,0.197,-1
0.385,0.6709999999999999,265067,0.405,0.0,0,0.132,-10.052,1,0.0392,99.678,4,0.828,-1
0.963,0.336,230933,0.29100000000000004,0.0004570000000000001,11,0.102,-12.972,1,0.0392,102.114,5,0.0786,-1
0.995,0.321,247973,0.0134,0.909,1,0.0732,-25.438,1,0.0437,64.851,4,0.0624,1
0.448,0.55,214733,0.8240000000000001,0.000127,2,0.366,-5.988,1,0.0334,114.512,4,0.777,-1
0.992,0.225,259493,0.0047,0.8809999999999999,1,0.0722,-30.928,0,0.0509,163.665,4,0.18600000000000005,1
